n,seconds
1679,0.2088552
1680,0.2143799
1681,0.4124345
1682,0.3318024
1683,0.2501014
1684,0.2112337
1685,0.204299
1686,0.2587216
1687,0.3317343
1688,0.3022878
1689,0.2666806
1690,0.2146596
1691,0.4775115
1692,0.3290826
1693,0.296066
1694,0.3614247
1695,0.2615791
1696,0.2032028
1697,0.2809629
1698,0.2094328
1699,0.2726119
1700,0.3088377
1701,0.2038325
1702,0.5328734
1703,0.3621425
1704,0.2039683
1705,0.2075327
1706,0.281733
1707,0.2047166
1708,0.2059534
1709,0.4611157
1710,0.3167224
1711,0.4052649
1712,0.2384222
1713,0.3228391
1714,0.4621479
1715,0.2489021
1716,0.4207026
1717,0.2761576
1718,0.2254807
1719,0.2201887
1720,0.3662476
1721,0.2912818
1722,0.2732354
1723,0.2083899
1724,0.331594
1725,0.2944821
1726,0.2425348
1727,0.3732681
1728,0.2101158
1729,0.2106464
1730,0.2106635
1731,0.2105183
1732,0.269256
1733,0.2116123
1734,0.2119762
1735,0.2958893
1736,0.3689334
1737,0.3434785
1738,0.3808301
1739,0.3912498
1740,0.2514822
1741,0.2766268
1742,0.2286286
1743,0.2357652
1744,0.2714636
1745,0.2242016
1746,0.2298133
1747,0.401553
1748,0.2229639
1749,0.3378773
1750,0.2776708
1751,0.2810871
1752,0.216373
1753,0.2178051
1754,0.3958443
1755,0.2612633
1756,0.2180345
1757,0.2385334
1758,0.2953811
1759,0.3618342
1760,0.2194757
1761,0.2188491
1762,0.2184798
1763,0.2241027
1764,0.4197706
1765,0.2815219
1766,0.2201724
1767,0.3052613
1768,0.2569694
1769,0.2291953
1770,0.2433241
1771,0.3822771
1772,0.3789401
1773,0.2222162
1774,0.2229799
1775,0.2213803
1776,0.2233352
1777,0.2722715
1778,0.2241395
1779,0.2255715
1780,0.3801041
1781,0.2235388
1782,0.2234058
1783,0.2717412
1784,0.3188874
1785,0.2232893
1786,0.2246073
1787,0.2236433
1788,0.2249836
1789,0.3091012
1790,0.2252671
1791,0.2625106
1792,0.2299496
1793,0.278456
1794,0.2307697
1795,0.226347
1796,0.2275045
1797,0.2267708
1798,0.2264385
1799,0.2551576
1800,0.2280357
1801,0.2277067
1802,0.4664567
1803,0.2283169
1804,0.228158
1805,0.2293885
1806,0.2292158
1807,0.273523
1808,0.2307642
1809,0.254884
1810,0.2295111
1811,0.2311271
1812,0.2303724
1813,0.2577912
1814,0.2706571
1815,0.2312701
1816,0.2789612
1817,0.2582745
1818,0.2327743
1819,0.2324852
1820,0.2721236
1821,0.2330702
1822,0.2728674
1823,0.2452205
1824,0.3286975
1825,0.2337615
1826,0.2365871
1827,0.2348196
1828,0.3289489
1829,0.3152318
1830,0.2350067
1831,0.2660009
1832,0.3206078
1833,0.2360065
1834,0.2393989
1835,0.4930419
1836,0.2371691
1837,0.2793424
1838,0.2371694
1839,0.2376516
1840,0.2976524
1841,0.3613064
1842,0.2422451
1843,0.2642984
1844,0.2406116
1845,0.3172051
1846,0.2390528
1847,0.2421977
1848,0.2814868
1849,0.2398001
1850,0.4266895
1851,0.3150138
1852,0.258026
1853,0.2403921
1854,0.2823221
1855,0.2416441
1856,0.243502
1857,0.2420003
1858,0.2450812
1859,0.2513118
1860,0.2700576
1861,0.2432147
1862,0.2733635
1863,0.2684082
1864,0.3190735
1865,0.2795133
1866,0.3213858
1867,0.2482618
1868,0.3817491
1869,0.2489293
1870,0.2464674
1871,0.2478254
1872,0.2465841
1873,0.2468791
1874,0.2474963
1875,0.2484719
1876,0.2467531
1877,0.2474887
1878,0.2483578
1879,0.2885754
1880,0.3220944
1881,0.2530792
1882,0.2488757
1883,0.2495388
1884,0.2488219
1885,0.2496051
1886,0.3314815
1887,0.2494986
1888,0.250406
1889,0.4247229
1890,0.2724062
1891,0.2518058
1892,0.2522386
1893,0.4495206
1894,0.375042
1895,0.2556643
1896,0.2609973
1897,0.3660455
1898,0.3053268
1899,0.2945238
1900,0.2537848
1901,0.253457
1902,0.3186725
1903,0.2538393
1904,0.3037307
1905,0.3356811
1906,0.3615756
1907,0.3390421
1908,0.3282771
1909,0.3042074
1910,0.3623205
1911,0.6395007
1912,0.2621456
1913,0.2973489
1914,0.2568343
1915,0.2570437
1916,0.2600397
1917,0.2600671
1918,0.2687081
1919,0.2878797
1920,0.3519055
1921,0.3195117
1922,0.5138664
1923,0.3600923
1924,0.3258701
1925,0.2722471
1926,0.2703996
1927,0.2640145
1928,0.3470471
1929,0.3062159
1930,0.3679105
1931,0.426541
1932,0.2614664
1933,0.262279
1934,0.2618653
1935,0.2633639
1936,0.3191434
1937,0.2629893
1938,0.303785
1939,0.262777
1940,0.2643521
1941,0.2639001
1942,0.7280179
1943,0.371385
1944,0.3443895
1945,0.3300389
1946,0.2716593
1947,0.2687365
1948,0.4001406
1949,0.5514237
1950,0.5793103
1951,0.3221724
1952,0.4264187
1953,0.4656793
1954,0.7763776
1955,0.3497349
1956,0.3098825
1957,0.304568
1958,0.4969151
1959,0.8858873
1960,0.49756
1961,0.286203
1962,0.3826872
1963,0.3723454
1964,0.7944462
1965,0.7532871
1966,0.6430472
1967,0.6858015
1968,0.5782209
1969,0.652437
1970,0.7264713
1971,0.7763242
1972,0.5570434
1973,0.7741785
1974,0.2924238
1975,0.3813909
1976,0.7612383
1977,0.5636723
1978,0.2929376
1979,0.2970523
1980,0.3301094
1981,0.2763708
1982,0.5614621
1983,0.3435718
1984,0.292199
1985,0.2947596
1986,0.3597903
1987,0.2839837
1988,0.3281616
1989,0.294199
1990,0.3038777
1991,0.2870879
1992,0.2835274
1993,0.2802172
1994,0.3104227
1995,0.3721527
1996,0.2882298
1997,0.2859439
1998,0.2845971
1999,0.2875069
2000,0.2969602
