n,seconds
1,0.0000466
2,0.0000094
3,0.000014
4,0.0000234
5,0.0000487
6,0.0001015
7,0.0002595
8,0.0005528
9,0.0013178
10,0.0026764
11,0.0058023
12,0.0132372
13,0.0281604
14,0.0692733
15,0.1282326
16,0.3003045
17,0.5869285
18,1.240882
19,3.1670637
20,5.999189
21,14.6321302
22,28.7197677
